--- ATL ---
Trae Young (youngtr01) | curr_mins, 35.3 | prev_mins, mean: 34.44736842105263, std: 3.2500799052610563 | 2fga, mean: 12.289473684210526, std: 3.8587419188999807 | 3fga, mean: 8.026315789473685, std: 2.6802085750068345 | fta, mean: 7.276315789473684, std: 3.8409109535250345 | 2fgp: (16, 15) | 3fgp: (9, 14) | ftp: (20, 3) | ast, mean: 9.697368421052632, std: 2.8746612470547834 | reb, mean: 3.736842105263158, std: 1.982611389667091 | stl, mean: 0.9473684210526315, std: 0.9016758788953586 | blk, mean: 0.09210526315789473, std: 0.2891744865241567
Dejounte Murray (murrade01) | curr_mins, 36.6 | prev_mins, mean: 34.26470588235294, std: 3.398172722901424 | 2fga, mean: 13.926470588235293, std: 3.6473849474681583 | 3fga, mean: 4.323529411764706, std: 1.9736587140950135 | fta, mean: 3.6323529411764706, std: 3.180382939228924 | 2fgp: (2, 2) | 3fgp: (10, 20) | ftp: (24, 7) | ast, mean: 9.220588235294118, std: 2.914696978676969 | reb, mean: 8.279411764705882, std: 2.7162126976150307 | stl, mean: 2.0294117647058822, std: 1.2363440915872765 | blk, mean: 0.3382352941176471, std: 0.5586299974477229
De'Andre Hunter (huntede01) | curr_mins, 31.2 | prev_mins, mean: 29.245283018867923, std: 5.528334084522117 | 2fga, mean: 7.169811320754717, std: 2.470473555220062 | 3fga, mean: 3.6792452830188678, std: 1.8811235593380404 | fta, mean: 3.1320754716981134, std: 2.487991808585197 | 2fgp: (10, 11) | 3fgp: (12, 19) | ftp: (14, 5) | ast, mean: 1.2830188679245282, std: 1.0881411966261294 | reb, mean: 3.3207547169811322, std: 2.0991784997466283 | stl, mean: 0.6792452830188679, std: 0.7955912695210572 | blk, mean: 0.39622641509433965, std: 0.6541485216362156
John Collins (collijo01) | curr_mins, 31.9 | prev_mins, mean: 30.296296296296298, std: 5.108560823753231 | 2fga, mean: 8.666666666666666, std: 3.872983346207417 | 3fga, mean: 3.259259259259259, std: 1.7762338975232292 | fta, mean: 3.1296296296296298, std: 2.7151583835958766 | 2fgp: (11, 8) | 3fgp: (5, 8) | ftp: (24, 7) | ast, mean: 1.8148148148148149, std: 1.4020365356109408 | reb, mean: 7.814814814814815, std: 3.2436494882683427 | stl, mean: 0.6111111111111112, std: 0.8031573497111644 | blk, mean: 1.037037037037037, std: 1.2165976078264327
Clint Capela (capelca01) | curr_mins, 27.2 | prev_mins, mean: 27.094594594594593, std: 4.793489162307553 | 2fga, mean: 8.14864864864865, std: 3.2948872450560898 | 3fga, mean: 0.013513513513513514, std: 0.11545951007185856 | fta, mean: 2.2837837837837838, std: 1.948806081281495 | 2fgp: (9, 6) | 3fgp: (1, 2) | ftp: (10, 11) | ast, mean: 1.2432432432432432, std: 1.217116783697049 | reb, mean: 11.85135135135135, std: 3.578020109443106 | stl, mean: 0.7432432432432432, std: 1.0405405405405406 | blk, mean: 1.2567567567567568, std: 1.0661982323013175
Onyeka Okongwu (okongon01) | curr_mins, 19.8 | prev_mins, mean: 20.1875, std: 5.7758702446759775 | 2fga, mean: 4.708333333333333, std: 2.4996527536617736 | 3fga, mean: 1.0, std: 1.0 | fta, mean: 2.2916666666666665, std: 2.1885909977781495 | 2fgp: (21, 10) | 3fgp: (3, 6) | ftp: (9, 4) | ast, mean: 1.1041666666666667, std: 1.1590150871417602 | reb, mean: 5.895833333333333, std: 2.647637180372131 | stl, mean: 0.6458333333333334, std: 0.6611096521926012 | blk, mean: 1.25, std: 1.0897247358851685
Aaron Holiday (holidaa01) | curr_mins, 18.0 | prev_mins, mean: 15.746031746031745, std: 7.762278044713202 | 2fga, mean: 3.7301587301587302, std: 2.631954727781322 | 3fga, mean: 1.6349206349206349, std: 1.5866665396317206 | fta, mean: 1.0793650793650793, std: 1.7210331642450545 | 2fgp: (11, 12) | 3fgp: (12, 19) | ftp: (14, 3) | ast, mean: 2.4285714285714284, std: 2.143386178081314 | reb, mean: 1.9365079365079365, std: 1.7170759186053688 | stl, mean: 0.6666666666666666, std: 0.8544932592822078 | blk, mean: 0.14285714285714285, std: 0.3926767262493011
AJ Griffin (griffaj01) | curr_mins, 16.4 | prev_mins, mean: 16.0, std: 9.805806756909202 | 2fga, mean: 3.5384615384615383, std: 2.872023800399149 | 3fga, mean: 3.230769230769231, std: 1.8040060614705498 | fta, mean: 0.23076923076923078, std: 0.5756395979652217 | 2fgp: (18, 11) | 3fgp: (9, 14) | ftp: (2, 1) | ast, mean: 0.6923076923076923, std: 0.6056929133855238 | reb, mean: 2.0, std: 1.4675987714106855 | stl, mean: 0.8461538461538461, std: 1.0986812966989 | blk, mean: 0.07692307692307693, std: 0.26646935501059654
Jalen Johnson (johnsja01) | curr_mins, 13.3 | prev_mins, mean: 18.677419354838708, std: 8.496250014448286 | 2fga, mean: 3.5806451612903225, std: 2.7092933675607824 | 3fga, mean: 1.3709677419354838, std: 1.3104280385128777 | fta, mean: 0.8870967741935484, std: 1.2839560678555721 | 2fgp: (7, 6) | 3fgp: (8, 20) | ftp: (11, 10) | ast, mean: 2.096774193548387, std: 1.8726355191870956 | reb, mean: 3.467741935483871, std: 2.3535679293189813 | stl, mean: 0.4838709677419355, std: 0.8179820860068365 | blk, mean: 0.5483870967741935, std: 0.8552950699072807
Justin Holiday (holidju01) | curr_mins, 17.6 | prev_mins, mean: 27.31081081081081, std: 6.6330981625841865 | 2fga, mean: 2.4324324324324325, std: 1.6364189733211463 | 3fga, mean: 6.513513513513513, std: 2.6110122467196675 | fta, mean: 0.8378378378378378, std: 1.3257025371276456 | 2fgp: (8, 9) | 3fgp: (12, 20) | ftp: (22, 6) | ast, mean: 1.7297297297297298, std: 1.2225062570701233 | reb, mean: 2.5675675675675675, std: 1.5429095109396846 | stl, mean: 0.7702702702702703, std: 0.8309437372780113 | blk, mean: 0.44594594594594594, std: 0.7378180375523621
Vit Krejci (krejcvi01) | curr_mins, 2.6 | prev_mins, mean: 22.6, std: 11.388883468833399 | 2fga, mean: 2.3, std: 2.5317977802344322 | 3fga, mean: 3.2666666666666666, std: 2.1898756940875788 | fta, mean: 0.7333333333333333, std: 1.3888444437333105 | 2fgp: (13, 12) | 3fgp: (10, 20) | ftp: (20, 4) | ast, mean: 1.9, std: 1.9723082923316022 | reb, mean: 3.3666666666666667, std: 2.509758731210809 | stl, mean: 0.6333333333333333, std: 0.7951240294584375 | blk, mean: 0.26666666666666666, std: 0.5120763831912405
